***************************************************************************************************
** [ INFO ] ***************************************************************************************
 START_DATE  : 2021-06-29 14:00:00
 END_DATE    : 2021-06-30 14:00:00
***************************************************************************************************
***************************************************************************************************
----------------------------------------------------------------------------------------------------
 [ MDMS STATISTICS ] 
###################################################################################################
## 1-1) Push Noti. Input/Out Statistics (List) - Traffic Count (EMS DB)
SYSTEM_ID	MSG_TYPE	TOT_RECV_COUNT	SUCC_RECV_COUNT	FAIL_RECV_COUNT	REG_DATETIME
UPM51	65	2862	2862	0	2021-06-29 14:00:36
UPM51	65	2862	2862	0	2021-06-29 14:01:36
UPM51	65	2860	2860	0	2021-06-29 14:02:35
UPM51	65	2859	2859	0	2021-06-29 14:03:35
UPM51	65	2865	2865	0	2021-06-29 14:04:36
UPM51	65	2859	2859	0	2021-06-29 14:05:37
UPM51	65	2863	2863	0	2021-06-29 14:06:35
UPM51	65	2863	2863	0	2021-06-29 14:07:35
UPM51	65	2865	2865	0	2021-06-29 14:08:36
UPM51	65	2865	2865	0	2021-06-29 14:09:36
UPM51	65	2860	2860	0	2021-06-29 14:10:35
UPM51	65	2862	2862	0	2021-06-29 14:11:36
UPM51	65	2871	2871	0	2021-06-29 14:12:36
UPM51	65	2866	2866	0	2021-06-29 14:13:36
UPM51	65	2868	2868	0	2021-06-29 14:14:36
UPM51	65	2867	2867	0	2021-06-29 14:15:36
UPM51	65	2868	2868	0	2021-06-29 14:16:36
UPM51	65	2863	2863	0	2021-06-29 14:17:36
UPM51	65	2866	2866	0	2021-06-29 14:18:36
UPM51	65	2867	2867	0	2021-06-29 14:19:35
UPM51	65	2863	2863	0	2021-06-29 14:20:36
UPM51	65	2868	2868	0	2021-06-29 14:21:35
UPM51	65	2862	2862	0	2021-06-29 14:22:36
UPM51	65	2879	2879	0	2021-06-29 14:23:36
UPM51	65	2865	2865	0	2021-06-29 14:24:35
UPM51	65	2872	2872	0	2021-06-29 14:25:36
UPM51	65	2858	2858	0	2021-06-29 14:26:36
