***************************************************************************************************
** [ INFO ] ***************************************************************************************
 START_DATE  : 2021-06-30 19:00:00
 END_DATE    : 2021-07-01 19:00:00
***************************************************************************************************
***************************************************************************************************
----------------------------------------------------------------------------------------------------
 [ TDATA STATISTICS ] 
####################################################################################################
## 1) NRF API Request Statistics (EMS DB)
SUM(NRF_REG_COUNT)	SUM(NRF_STOP_COUNT)
144	0
####################################################################################################
## 2-1) Zone Noti. Input/Out Statistics (List) - Traffic Count (EMS DB)
SYSTEM_ID	MSG_TYPE	TOT_RECV_COUNT	SUCC_RECV_COUNT	FAIL_RECV_COUNT	REG_DATETIME
UPM51	01	2886	2886	0	2021-06-30 19:00:35
UPM51	01	2883	2883	0	2021-06-30 19:01:35
UPM51	01	2886	2886	0	2021-06-30 19:02:35
UPM51	01	2886	2886	0	2021-06-30 19:03:34
UPM51	01	2885	2885	0	2021-06-30 19:04:35
UPM51	01	2883	2883	0	2021-06-30 19:05:35
UPM51	01	2879	2879	0	2021-06-30 19:06:35
UPM51	01	2882	2882	0	2021-06-30 19:07:35
UPM51	01	2882	2882	0	2021-06-30 19:08:35
UPM51	01	2880	2880	0	2021-06-30 19:09:35
UPM51	01	2882	2882	0	2021-06-30 19:10:34
UPM51	01	2881	2881	0	2021-06-30 19:11:35
UPM51	01	2882	2882	0	2021-06-30 19:12:35
UPM51	01	2881	2881	0	2021-06-30 19:13:35
UPM51	01	2884	2884	0	2021-06-30 19:14:35
UPM51	01	2881	2881	0	2021-06-30 19:15:34
UPM51	01	2882	2882	0	2021-06-30 19:16:35
UPM51	01	2877	2877	0	2021-06-30 19:17:35
UPM51	01	2880	2880	0	2021-06-30 19:18:35
UPM51	01	2882	2882	0	2021-06-30 19:19:35
UPM51	01	2882	2882	0	2021-06-30 19:20:34
UPM51	01	2880	2880	0	2021-06-30 19:21:35
UPM51	01	2883	2883	0	2021-06-30 19:22:35
UPM51	01	2880	2880	0	2021-06-30 19:23:35
UPM51	01	2881	2881	0	2021-06-30 19:24:35
UPM51	01	2883	2883	0	2021-06-30 19:25:35
UPM51	01	2882	2882	0	2021-06-30 19:26:35
UPM51	01	2883	2883	0	2021-06-30 19:27:35
UPM51	01	2880	2880	0	2021-06-30 19:28:35
UPM51	01	2882	2882	0	2021-06-30 19:29:35
UPM51	01	2882	2882	0	2021-06-30 19:30:35
UPM51	01	2882	2882	0	2021-06-30 19:31:35
UPM51	01	2882	2882	0	2021-06-30 19:32:34
UPM51	01	2880	2880	0	2021-06-30 19:33:35
UPM51	01	2883	2883	0	2021-06-30 19:34:35
UPM51	01	2881	2881	0	2021-06-30 19:35:35
UPM51	01	2881	2881	0	2021-06-30 19:36:35
UPM51	01	2882	2882	0	2021-06-30 19:37:35
UPM51	01	2882	2882	0	2021-06-30 19:38:34
UPM51	01	2879	2879	0	2021-06-30 19:39:35
UPM51	01	2879	2879	0	2021-06-30 19:40:35
UPM51	01	2881	2881	0	2021-06-30 19:41:35
UPM51	01	2882	2882	0	2021-06-30 19:42:34
UPM51	01	2881	2881	0	2021-06-30 19:43:35
UPM51	01	2882	2882	0	2021-06-30 19:44:35
UPM51	01	2881	2881	0	2021-06-30 19:45:34
UPM51	01	2873	2873	0	2021-06-30 19:46:35
UPM51	01	2887	2887	0	2021-06-30 19:47:35
UPM51	01	2878	2878	0	2021-06-30 19:48:35
UPM51	01	2885	2885	0	2021-06-30 19:49:35
UPM51	01	2878	2878	0	2021-06-30 19:50:34
UPM51	01	2887	2887	0	2021-06-30 19:51:35
UPM51	01	2882	2882	0	2021-06-30 19:52:35
UPM51	01	2881	2881	0	2021-06-30 19:53:35
UPM51	01	2879	2879	0	2021-06-30 19:54:35
UPM51	01	2881	2881	0	2021-06-30 19:55:35
UPM51	01	2882	2882	0	2021-06-30 19:56:34
UPM51	01	2880	2880	0	2021-06-30 19:57:35
UPM51	01	2883	2883	0	2021-06-30 19:58:35
UPM51	01	2880	2880	0	2021-06-30 19:59:35
UPM51	01	2881	2881	0	2021-06-30 20:00:35
UPM51	01	2880	2880	0	2021-06-30 20:01:35
UPM51	01	2883	2883	0	2021-06-30 20:02:35
UPM51	01	2882	2882	0	2021-06-30 20:03:35
UPM51	01	2881	2881	0	2021-06-30 20:04:34
UPM51	01	2881	2881	0	2021-06-30 20:05:35
UPM51	01	2881	2881	0	2021-06-30 20:06:35
UPM51	01	2883	2883	0	2021-06-30 20:07:34
UPM51	01	2880	2880	0	2021-06-30 20:08:34
UPM51	01	2880	2880	0	2021-06-30 20:09:35
UPM51	01	2880	2880	0	2021-06-30 20:10:34
UPM51	01	2883	2883	0	2021-06-30 20:11:34
UPM51	01	2880	2880	0	2021-06-30 20:12:35
UPM51	01	2882	2882	0	2021-06-30 20:13:35
UPM51	01	2881	2881	0	2021-06-30 20:14:35
UPM51	01	2882	2882	0	2021-06-30 20:15:35
UPM51	01	2882	2882	0	2021-06-30 20:16:34
UPM51	01	2883	2883	0	2021-06-30 20:17:35
UPM51	01	2879	2879	0	2021-06-30 20:18:35
UPM51	01	2882	2882	0	2021-06-30 20:19:34
UPM51	01	2881	2881	0	2021-06-30 20:20:34
UPM51	01	2884	2884	0	2021-06-30 20:21:35
UPM51	01	2882	2882	0	2021-06-30 20:22:35
UPM51	01	2882	2882	0	2021-06-30 20:23:34
UPM51	01	2884	2884	0	2021-06-30 20:24:35
UPM51	01	2882	2882	0	2021-06-30 20:25:35
UPM51	01	2882	2882	0	2021-06-30 20:26:34
UPM51	01	2883	2883	0	2021-06-30 20:27:34
UPM51	01	2881	2881	0	2021-06-30 20:28:35
UPM51	01	2880	2880	0	2021-06-30 20:29:35
UPM51	01	2883	2883	0	2021-06-30 20:30:35
UPM51	01	2882	2882	0	2021-06-30 20:31:35
UPM51	01	2884	2884	0	2021-06-30 20:32:35
UPM51	01	2881	2881	0	2021-06-30 20:33:35
UPM51	01	2882	2882	0	2021-06-30 20:34:35
UPM51	01	2880	2880	0	2021-06-30 20:35:35
UPM51	01	2883	2883	0	2021-06-30 20:36:34
UPM51	01	2880	2880	0	2021-06-30 20:37:35
UPM51	01	2882	2882	0	2021-06-30 20:38:34
UPM51	01	2883	2883	0	2021-06-30 20:39:35
UPM51	01	2882	2882	0	2021-06-30 20:40:34
UPM51	01	2878	2878	0	2021-06-30 20:41:35
UPM51	01	2885	2885	0	2021-06-30 20:42:34
UPM51	01	2881	2881	0	2021-06-30 20:43:35
UPM51	01	2882	2882	0	2021-06-30 20:44:34
UPM51	01	2880	2880	0	2021-06-30 20:45:35
UPM51	01	2881	2881	0	2021-06-30 20:46:34
UPM51	01	2883	2883	0	2021-06-30 20:47:35
UPM51	01	2874	2874	0	2021-06-30 20:48:34
UPM51	01	2891	2891	0	2021-06-30 20:49:35
UPM51	01	2880	2880	0	2021-06-30 20:50:34
UPM51	01	2882	2882	0	2021-06-30 20:51:35
UPM51	01	2882	2882	0	2021-06-30 20:52:35
UPM51	01	2880	2880	0	2021-06-30 20:53:35
UPM51	01	2879	2879	0	2021-06-30 20:54:35
UPM51	01	2882	2882	0	2021-06-30 20:55:35
UPM51	01	2882	2882	0	2021-06-30 20:56:34
UPM51	01	2882	2882	0	2021-06-30 20:57:35
UPM51	01	2883	2883	0	2021-06-30 20:58:34
UPM51	01	2881	2881	0	2021-06-30 20:59:35
UPM51	01	2881	2881	0	2021-06-30 21:00:35
UPM51	01	2881	2881	0	2021-06-30 21:01:35
UPM51	01	2880	2880	0	2021-06-30 21:02:35
UPM51	01	2883	2883	0	2021-06-30 21:03:35
UPM51	01	2882	2882	0	2021-06-30 21:04:35
UPM51	01	2881	2881	0	2021-06-30 21:05:34
UPM51	01	2885	2885	0	2021-06-30 21:06:35
UPM51	01	2880	2880	0	2021-06-30 21:07:35
UPM51	01	2883	2883	0	2021-06-30 21:08:35
UPM51	01	2883	2883	0	2021-06-30 21:09:35
UPM51	01	2880	2880	0	2021-06-30 21:10:35
UPM51	01	2881	2881	0	2021-06-30 21:11:34
UPM51	01	2884	2884	0	2021-06-30 21:12:35
UPM51	01	2881	2881	0	2021-06-30 21:13:34
UPM51	01	2882	2882	0	2021-06-30 21:14:35
UPM51	01	2883	2883	0	2021-06-30 21:15:35
UPM51	01	2881	2881	0	2021-06-30 21:16:34
UPM51	01	2885	2885	0	2021-06-30 21:17:34
UPM51	01	2880	2880	0	2021-06-30 21:18:35
UPM51	01	2883	2883	0	2021-06-30 21:19:35
UPM51	01	2882	2882	0	2021-06-30 21:20:35
UPM51	01	2882	2882	0	2021-06-30 21:21:34
UPM51	01	2883	2883	0	2021-06-30 21:22:34
UPM51	01	2883	2883	0	2021-06-30 21:23:35
UPM51	01	2881	2881	0	2021-06-30 21:24:35
UPM51	01	2880	2880	0	2021-06-30 21:25:35
UPM51	01	2880	2880	0	2021-06-30 21:26:34
UPM51	01	2884	2884	0	2021-06-30 21:27:35
UPM51	01	2879	2879	0	2021-06-30 21:28:35
UPM51	01	2886	2886	0	2021-06-30 21:29:35
UPM51	01	2884	2884	0	2021-06-30 21:30:34
UPM51	01	2882	2882	0	2021-06-30 21:31:35
UPM51	01	2882	2882	0	2021-06-30 21:32:34
UPM51	01	2880	2880	0	2021-06-30 21:33:34
UPM51	01	2882	2882	0	2021-06-30 21:34:34
UPM51	01	2881	2881	0	2021-06-30 21:35:35
UPM51	01	2882	2882	0	2021-06-30 21:36:35
UPM51	01	2881	2881	0	2021-06-30 21:37:34
UPM51	01	2882	2882	0	2021-06-30 21:38:34
UPM51	01	2881	2881	0	2021-06-30 21:39:35
UPM51	01	2880	2880	0	2021-06-30 21:40:34
UPM51	01	2882	2882	0	2021-06-30 21:41:34
UPM51	01	2881	2881	0	2021-06-30 21:42:34
UPM51	01	2882	2882	0	2021-06-30 21:43:35
UPM51	01	2881	2881	0	2021-06-30 21:44:35
UPM51	01	2882	2882	0	2021-06-30 21:45:34
UPM51	01	2882	2882	0	2021-06-30 21:46:34
UPM51	01	2881	2881	0	2021-06-30 21:47:34
UPM51	01	2883	2883	0	2021-06-30 21:48:35
UPM51	01	2883	2883	0	2021-06-30 21:49:35
UPM51	01	2882	2882	0	2021-06-30 21:50:34
UPM51	01	2882	2882	0	2021-06-30 21:51:35
UPM51	01	2883	2883	0	2021-06-30 21:52:35
UPM51	01	2880	2880	0	2021-06-30 21:53:34
UPM51	01	2884	2884	0	2021-06-30 21:54:34
UPM51	01	2880	2880	0	2021-06-30 21:55:35
UPM51	01	2882	2882	0	2021-06-30 21:56:34
UPM51	01	2881	2881	0	2021-06-30 21:57:35
UPM51	01	2882	2882	0	2021-06-30 21:58:34
UPM51	01	2882	2882	0	2021-06-30 21:59:35
