 
 
***************************************************************************************************
** [ INFO ] ***************************************************************************************
 START_DATE  : 20210609000000
 END_DATE    : 20210610000000
***************************************************************************************************
***************************************************************************************************
####################################################################################################
## 1) NRF API Request Statistics (EMS DB)
SUM(NRF_REG_COUNT)	SUM(NRF_STOP_COUNT)
15120	0
####################################################################################################
## 2-1) Zone Noti. Input/Out Statistics (List) - Traffic Count (EMS DB)
SYSTEM_ID	MSG_TYPE	TOT_RECV_COUNT	SUCC_RECV_COUNT	FAIL_RECV_COUNT	REG_DATETIME
UPM51	01	18000	18000	0	2021-06-09 00:00:29
UPM51	01	18000	18000	0	2021-06-09 00:01:30
UPM51	01	14717	14717	0	2021-06-09 00:02:29
UPM51	01	14732	14732	0	2021-06-09 00:03:29
UPM51	01	14715	14715	0	2021-06-09 00:04:29
UPM51	01	14735	14735	0	2021-06-09 00:05:29
UPM51	01	14712	14712	0	2021-06-09 00:06:29
UPM51	01	14698	14698	0	2021-06-09 00:07:29
UPM51	01	14738	14738	0	2021-06-09 00:08:29
UPM51	01	14737	14737	0	2021-06-09 00:09:29
UPM51	01	14706	14706	0	2021-06-09 00:10:29
UPM51	01	14722	14722	0	2021-06-09 00:11:29
UPM51	01	14712	14712	0	2021-06-09 00:12:30
UPM51	01	14735	14735	0	2021-06-09 00:13:29
UPM51	01	14716	14716	0	2021-06-09 00:14:29
UPM51	01	14686	14686	0	2021-06-09 00:15:29
UPM51	01	14749	14749	0	2021-06-09 00:16:29
UPM51	01	14716	14716	0	2021-06-09 00:17:29
UPM51	01	14733	14733	0	2021-06-09 00:18:29
UPM51	01	14714	14714	0	2021-06-09 00:19:29
UPM51	01	14735	14735	0	2021-06-09 00:20:29
UPM51	01	14710	14710	0	2021-06-09 00:21:29
UPM51	01	14736	14736	0	2021-06-09 00:22:29
UPM51	01	14719	14719	0	2021-06-09 00:23:29
UPM51	01	14700	14700	0	2021-06-09 00:24:29
UPM51	01	14750	14750	0	2021-06-09 00:25:29
UPM51	01	14726	14726	0	2021-06-09 00:26:29
UPM51	01	14719	14719	0	2021-06-09 00:27:30
UPM51	01	14728	14728	0	2021-06-09 00:28:29
UPM51	01	14675	14675	0	2021-06-09 00:29:29
UPM51	01	14755	14755	0	2021-06-09 00:30:29
UPM51	01	14713	14713	0	2021-06-09 00:31:29
UPM51	01	14726	14726	0	2021-06-09 00:32:29
UPM51	01	14712	14712	0	2021-06-09 00:33:29
UPM51	01	14723	14723	0	2021-06-09 00:34:29
UPM51	01	14723	14723	0	2021-06-09 00:35:30
UPM51	01	14720	14720	0	2021-06-09 00:36:29
UPM51	01	14724	14724	0	2021-06-09 00:37:29
UPM51	01	14708	14708	0	2021-06-09 00:38:29
UPM51	01	14712	14712	0	2021-06-09 00:39:29
UPM51	01	14719	14719	0	2021-06-09 00:40:29
UPM51	01	14720	14720	0	2021-06-09 00:41:29
UPM51	01	14600	14600	0	2021-06-09 00:42:29
UPM51	01	14858	14858	0	2021-06-09 00:43:29
UPM51	01	14729	14729	0	2021-06-09 00:44:29
UPM51	01	14719	14719	0	2021-06-09 00:45:29
UPM51	01	14729	14729	0	2021-06-09 00:46:29
UPM51	01	14727	14727	0	2021-06-09 00:47:30
UPM51	01	14739	14739	0	2021-06-09 00:48:29
UPM51	01	14733	14733	0	2021-06-09 00:49:29
UPM51	01	14706	14706	0	2021-06-09 00:50:29
UPM51	01	14722	14722	0	2021-06-09 00:51:29
UPM51	01	14731	14731	0	2021-06-09 00:52:29
UPM51	01	14725	14725	0	2021-06-09 00:53:29
UPM51	01	14716	14716	0	2021-06-09 00:54:29
UPM51	01	14618	14618	0	2021-06-09 00:55:29
UPM51	01	14847	14847	0	2021-06-09 00:56:29
UPM51	01	14724	14724	0	2021-06-09 00:57:29
UPM51	01	14738	14738	0	2021-06-09 00:58:29
UPM51	01	14700	14700	0	2021-06-09 00:59:29
UPM51	01	14757	14757	0	2021-06-09 01:00:29
UPM51	01	14721	14721	0	2021-06-09 01:01:29
UPM51	01	14710	14710	0	2021-06-09 01:02:29
UPM51	01	14733	14733	0	2021-06-09 01:03:30
UPM51	01	14703	14703	0	2021-06-09 01:04:29
UPM51	01	14730	14730	0	2021-06-09 01:05:29
UPM51	01	14716	14716	0	2021-06-09 01:06:29
UPM51	01	14708	14708	0	2021-06-09 01:07:29
UPM51	01	14679	14679	0	2021-06-09 01:08:29
UPM51	01	14778	14778	0	2021-06-09 01:09:29
UPM51	01	14735	14735	0	2021-06-09 01:10:30
UPM51	01	14722	14722	0	2021-06-09 01:11:29
UPM51	01	14723	14723	0	2021-06-09 01:12:29
UPM51	01	14725	14725	0	2021-06-09 01:13:29
UPM51	01	14700	14700	0	2021-06-09 01:14:29
UPM51	01	14705	14705	0	2021-06-09 01:15:29
UPM51	01	14739	14739	0	2021-06-09 01:16:29
UPM51	01	14725	14725	0	2021-06-09 01:17:29
UPM51	01	14719	14719	0	2021-06-09 01:18:29
UPM51	01	14721	14721	0	2021-06-09 01:19:29
UPM51	01	14683	14683	0	2021-06-09 01:20:29
UPM51	01	14747	14747	0	2021-06-09 01:21:29
UPM51	01	14726	14726	0	2021-06-09 01:22:29
UPM51	01	14581	14581	0	2021-06-09 01:23:29
UPM51	01	14876	14876	0	2021-06-09 01:24:29
UPM51	01	14719	14719	0	2021-06-09 01:25:29
UPM51	01	14729	14729	0	2021-06-09 01:26:29
UPM51	01	14730	14730	0	2021-06-09 01:27:29
UPM51	01	14729	14729	0	2021-06-09 01:28:29
UPM51	01	14713	14713	0	2021-06-09 01:29:29
UPM51	01	14699	14699	0	2021-06-09 01:30:29
UPM51	01	14751	14751	0	2021-06-09 01:31:29
UPM51	01	14728	14728	0	2021-06-09 01:32:31
UPM51	01	14689	14689	0	2021-06-09 01:33:29
UPM51	01	14737	14737	0	2021-06-09 01:34:29
UPM51	01	14661	14661	0	2021-06-09 01:35:29
UPM51	01	14805	14805	0	2021-06-09 01:36:29
UPM51	01	14722	14722	0	2021-06-09 01:37:29
UPM51	01	14730	14730	0	2021-06-09 01:38:29
UPM51	01	14732	14732	0	2021-06-09 01:39:29
UPM51	01	14712	14712	0	2021-06-09 01:40:29
UPM51	01	14719	14719	0	2021-06-09 01:41:29
UPM51	01	14726	14726	0	2021-06-09 01:42:29
UPM51	01	14722	14722	0	2021-06-09 01:43:29
UPM51	01	14719	14719	0	2021-06-09 01:44:29
UPM51	01	14721	14721	0	2021-06-09 01:45:30
UPM51	01	14720	14720	0	2021-06-09 01:46:29
UPM51	01	14700	14700	0	2021-06-09 01:47:29
UPM51	01	14718	14718	0	2021-06-09 01:48:29
